Concentration (g/mL),Uncoated Layer (nm),Total Thickness (nm),Bonded Thickness (nm)
0.02,1.56,3.62,0.47
7.99,1.49,1.25,0.69
0.19,1.46,2.62,0.69
6.12,1.47,1.76,0.51
0.02,1.46,7.89,0.55
0.02,1.43,0.56,0.69
0.02,1.57,2.17,0.58
0.02,1.49,0.76,0.44
6.9,1.42,2.36,0.69
0.02,1.52,2.66,0.69
0.02,1.47,1.59,0.69
0.02,1.52,1.25,0.5
0.02,1.5,2.76,0.6
2.45,1.5,0.56,0.69
0.03,1.54,3.63,0.67
6.75,1.42,4.58,0.69
1.56,1.53,4.91,0.69
0.11,1.49,6.78,0.34
0.02,1.53,4.22,0.69
0.02,1.47,6.36,0.68
0.18,1.64,1.53,0.69
0.02,1.44,4.46,0.69
0.02,1.64,0.78,0.58
0.02,1.49,2.81,0.46
4.05,1.49,6.0,0.53
0.31,1.5,1.66,0.63
0.02,1.45,2.45,0.45
0.02,1.47,3.04,0.5
0.02,1.51,1.87,0.42
0.16,1.43,0.59,0.69
0.02,1.54,6.23,0.56
0.44,1.43,1.94,0.69
0.02,1.52,2.96,0.53
5.63,1.53,1.52,0.54
0.02,1.47,1.16,0.43
0.02,1.47,0.66,0.62
2.03,1.52,1.74,0.48
0.07,1.54,11.5,0.34
2.95,1.49,0.56,0.69
0.02,1.48,0.8,0.42
1.04,1.42,1.69,0.6
4.75,1.52,1.47,0.38
0.02,1.55,5.91,0.61
0.02,1.43,0.56,0.69
0.96,1.54,2.14,0.46
0.02,1.51,13.18,0.69
0.02,1.64,4.22,0.55
0.02,1.56,8.39,0.43
0.02,1.53,4.41,0.54
3.83,1.57,3.09,0.34
5.86,1.43,5.26,0.69
2.49,1.42,0.56,0.69
0.02,1.44,13.18,0.56
0.02,1.46,0.56,0.42
1.68,1.42,5.06,0.69
0.07,1.44,0.56,0.69
0.02,1.53,10.61,0.49
0.02,1.45,7.79,0.69
0.02,1.51,0.56,0.48
0.27,1.54,0.56,0.38
0.02,1.56,3.52,0.43
1.16,1.51,0.56,0.69
0.02,1.64,1.09,0.68
0.66,1.54,9.83,0.54
0.69,1.5,7.5,0.69
6.92,1.43,2.45,0.69
0.02,1.51,7.95,0.5
1.9,1.45,0.56,0.38
6.87,1.49,4.27,0.66
0.02,1.5,1.1,0.49
4.56,1.45,0.56,0.69
5.57,1.52,4.6,0.69
0.52,1.42,1.98,0.59
0.02,1.64,13.18,0.58
0.02,1.49,0.56,0.69
0.87,1.52,0.94,0.5
1.0,1.52,13.18,0.62
7.64,1.48,0.56,0.66
0.02,1.5,2.53,0.69
0.02,1.43,10.11,0.69
0.02,1.48,3.47,0.69
0.02,1.55,5.94,0.51
0.02,1.42,2.89,0.56
0.02,1.46,5.2,0.49
0.02,1.43,1.44,0.69
0.02,1.42,0.56,0.69
0.02,1.51,2.71,0.53
0.02,1.43,0.56,0.66
0.02,1.44,2.79,0.69
0.02,1.53,0.62,0.69
10.0,1.46,2.2,0.69
2.9,1.52,1.38,0.59
0.02,1.52,4.71,0.49
0.02,1.56,3.21,0.68
1.29,1.55,12.11,0.54
0.02,1.45,13.18,0.62
0.02,1.51,1.99,0.36
7.6,1.43,0.56,0.42
1.12,1.49,1.27,0.69
4.52,1.48,13.0,0.34
1.2,1.49,0.56,0.69
0.02,1.5,1.7,0.35
0.02,1.44,4.26,0.54
0.02,1.48,6.41,0.4
0.46,1.45,3.49,0.54
0.02,1.52,0.71,0.48
0.02,1.46,8.94,0.57
0.02,1.52,2.66,0.43
2.32,1.46,0.71,0.49
0.8,1.42,0.96,0.69
0.02,1.56,1.37,0.43
1.63,1.53,4.17,0.69
4.4,1.5,13.18,0.51
0.15,1.48,3.82,0.66
0.34,1.64,8.35,0.69
0.02,1.54,1.4,0.4
0.02,1.52,1.71,0.57
0.02,1.53,1.19,0.59
0.02,1.45,4.42,0.43
0.02,1.5,5.84,0.45
1.23,1.42,0.56,0.49
1.5,1.53,11.24,0.69
0.59,1.43,8.36,0.51
0.36,1.52,0.56,0.69
0.02,1.51,1.99,0.66
0.25,1.48,2.44,0.69
4.79,1.43,11.3,0.41
9.29,1.5,9.23,0.61
1.3,1.54,1.99,0.59
0.02,1.52,13.18,0.69
0.02,1.46,7.63,0.69
3.41,1.49,2.86,0.69
0.02,1.46,4.11,0.69
0.9,1.42,0.56,0.66
0.02,1.48,2.62,0.62
0.74,1.48,2.48,0.69
0.53,1.47,2.83,0.52
4.12,1.46,6.3,0.51
5.89,1.54,0.56,0.51
0.51,1.51,2.24,0.47
0.02,1.54,1.93,0.45
10.0,1.43,1.87,0.5
0.02,1.49,0.56,0.49
0.02,1.46,3.59,0.46
0.02,1.5,6.38,0.57
0.02,1.48,2.86,0.37
0.02,1.54,3.87,0.69
0.77,1.5,0.56,0.69
0.02,1.54,1.52,0.69
0.02,1.54,1.84,0.54
0.02,1.49,7.46,0.35
0.02,1.55,2.52,0.69
0.02,1.52,9.37,0.35
1.37,1.5,11.04,0.59
0.02,1.53,0.56,0.34
0.49,1.42,1.46,0.57
1.81,1.5,1.04,0.34
0.02,1.53,3.12,0.44
0.02,1.44,4.76,0.69
0.02,1.56,2.92,0.54
0.41,1.62,2.44,0.69
0.02,1.49,1.89,0.69
4.17,1.51,0.91,0.69
0.02,1.45,0.56,0.54
0.18,1.51,0.78,0.69
2.93,1.56,3.21,0.47
0.02,1.45,0.56,0.69
0.02,1.47,13.18,0.59
1.28,1.51,2.72,0.52
0.02,1.53,4.73,0.69
1.18,1.54,2.58,0.64
0.02,1.48,1.26,0.69
0.02,1.54,1.93,0.55
0.29,1.51,3.5,0.64
0.02,1.55,1.35,0.69
0.02,1.42,2.19,0.6
1.11,1.48,0.56,0.65
3.39,1.64,2.43,0.67
0.02,1.46,2.82,0.34
0.02,1.54,0.56,0.49
0.97,1.47,0.56,0.69
0.22,1.48,5.13,0.49
10.0,1.48,2.08,0.69
0.02,1.42,1.01,0.69
0.02,1.64,0.56,0.69
0.02,1.5,0.56,0.53
0.02,1.47,1.17,0.67
2.64,1.45,2.45,0.69
0.02,1.56,0.96,0.57
0.02,1.51,7.35,0.69
0.02,1.47,2.37,0.67
10.0,1.42,0.66,0.67
0.02,1.55,1.97,0.34
0.02,1.54,2.3,0.36
0.02,1.53,2.14,0.69
0.92,1.51,0.56,0.37
10.0,1.49,1.45,0.69
0.02,1.52,3.03,0.49
0.83,1.56,0.56,0.58
2.11,1.55,1.21,0.69
0.02,1.42,1.95,0.5
0.02,1.43,3.34,0.69
0.02,1.47,6.18,0.69
0.7,1.42,2.28,0.69
2.76,1.51,7.39,0.46
0.61,1.54,1.11,0.69
0.03,1.42,3.07,0.67
0.02,1.51,7.25,0.69
8.41,1.49,1.32,0.55
0.92,1.48,1.84,0.69
0.02,1.47,1.86,0.69
0.02,1.47,0.56,0.61
0.07,1.52,2.86,0.34
0.02,1.56,0.56,0.43
0.02,1.54,1.25,0.6
0.02,1.51,13.18,0.59
0.02,1.58,0.56,0.69
0.27,1.53,0.56,0.69
0.02,1.46,7.47,0.62
0.02,1.47,2.38,0.59
4.54,1.5,8.67,0.58
0.42,1.46,0.56,0.69
0.02,1.53,3.56,0.49
0.3,1.46,4.08,0.61
0.59,1.44,8.62,0.69
0.49,1.51,0.56,0.58
2.08,1.64,13.18,0.62
0.02,1.54,13.18,0.69
0.02,1.45,1.73,0.69
1.43,1.51,2.98,0.69
0.02,1.55,1.43,0.58
0.02,1.52,2.58,0.53
0.02,1.54,0.56,0.69
0.02,1.64,0.56,0.69
0.16,1.42,8.31,0.62
0.02,1.49,0.94,0.58
0.44,1.54,1.38,0.41
0.02,1.64,0.9,0.69
0.02,1.47,6.62,0.49
0.02,1.49,0.56,0.69
0.02,1.43,0.56,0.69
0.02,1.52,7.48,0.37
4.03,1.53,0.56,0.69
0.02,1.55,2.16,0.67
0.02,1.6,7.54,0.43
1.24,1.49,1.99,0.68
0.31,1.44,5.11,0.69
0.02,1.55,4.5,0.64
1.17,1.51,1.76,0.69
0.03,1.47,4.08,0.69
1.92,1.47,0.89,0.69
0.02,1.53,1.46,0.47
0.02,1.55,0.56,0.46
0.21,1.51,0.56,0.63
0.02,1.43,1.26,0.69
0.02,1.51,10.54,0.69
0.02,1.47,1.61,0.52
0.02,1.53,1.04,0.69
0.02,1.53,2.62,0.35
0.94,1.46,10.23,0.58
0.53,1.64,0.56,0.69
0.02,1.49,13.18,0.68
2.07,1.44,1.04,0.66
0.02,1.55,1.71,0.61
2.56,1.42,0.56,0.69
0.02,1.64,0.56,0.69
0.16,1.56,1.82,0.66
0.02,1.42,2.96,0.64
0.02,1.54,1.98,0.44
8.55,1.44,0.56,0.69
6.38,1.52,1.65,0.66
8.39,1.43,8.4,0.66
0.82,1.64,1.18,0.39
2.67,1.52,2.51,0.69
0.02,1.48,0.56,0.63
0.02,1.54,6.93,0.62
0.02,1.48,6.31,0.69
0.02,1.46,2.36,0.51
3.93,1.49,0.56,0.69
0.02,1.53,0.98,0.57
0.02,1.46,6.58,0.63
1.31,1.48,9.1,0.34
0.02,1.43,2.42,0.45
1.71,1.48,8.2,0.63
0.02,1.51,3.29,0.69
1.28,1.5,2.81,0.69
5.6,1.45,4.81,0.66
0.02,1.56,6.36,0.43
1.01,1.42,0.56,0.51
0.02,1.45,5.7,0.69
0.02,1.48,0.56,0.69
7.57,1.45,0.56,0.69
0.02,1.55,3.42,0.68
0.02,1.44,7.03,0.57
0.02,1.42,5.17,0.69
0.05,1.51,2.76,0.59
1.49,1.5,1.61,0.65
0.85,1.51,2.68,0.69
0.22,1.64,0.9,0.59
0.02,1.51,8.43,0.55
0.02,1.54,8.77,0.65
2.53,1.43,3.83,0.64
6.0,1.53,0.93,0.69
0.02,1.51,1.68,0.69
3.69,1.42,0.86,0.55
0.02,1.49,1.33,0.64
1.86,1.5,2.43,0.42
1.5,1.51,0.56,0.6
0.02,1.5,1.25,0.54
0.02,1.54,2.53,0.34
0.91,1.53,0.56,0.68
1.34,1.48,4.33,0.52
0.02,1.54,0.56,0.69
0.02,1.44,0.56,0.69
0.3,1.63,13.18,0.51
0.02,1.49,2.88,0.49
0.86,1.5,2.54,0.69
0.02,1.46,3.71,0.54
0.02,1.45,3.66,0.61
0.45,1.48,0.56,0.69
8.73,1.45,9.23,0.47
0.3,1.47,3.51,0.69
8.48,1.43,6.14,0.69
10.0,1.49,5.15,0.58
0.02,1.47,0.56,0.69
0.05,1.47,0.56,0.49
0.02,1.52,2.7,0.69
0.02,1.54,1.5,0.34
6.09,1.55,2.47,0.44
0.1,1.56,0.56,0.54
1.51,1.53,3.82,0.5
0.42,1.53,3.31,0.53
0.02,1.48,0.56,0.69
0.02,1.48,2.0,0.69
0.02,1.42,0.56,0.69
3.78,1.5,0.68,0.48
0.02,1.46,0.84,0.48
0.02,1.51,3.67,0.69
3.76,1.53,13.18,0.4
0.02,1.47,2.62,0.57
0.02,1.64,0.83,0.65
0.08,1.54,0.56,0.53
0.18,1.42,13.18,0.69
0.8,1.52,0.56,0.69
0.02,1.42,1.86,0.62
0.48,1.42,5.76,0.69
1.24,1.51,2.03,0.63
0.02,1.55,7.69,0.57
0.02,1.45,0.56,0.57
0.02,1.53,1.93,0.34
1.38,1.53,2.61,0.34
0.02,1.55,9.52,0.6
0.02,1.52,6.4,0.45
0.02,1.47,3.43,0.69
0.8,1.49,1.08,0.68
0.49,1.51,0.69,0.69
0.02,1.46,1.39,0.34
0.55,1.53,0.56,0.41
1.13,1.5,2.68,0.45
0.02,1.44,0.75,0.69
1.14,1.54,0.56,0.67
0.02,1.54,6.06,0.34
2.23,1.48,1.75,0.34
0.02,1.49,6.07,0.46
0.02,1.5,4.22,0.56
0.02,1.55,7.12,0.69
5.95,1.49,0.92,0.34
2.62,1.45,0.8,0.5
0.02,1.55,13.18,0.57
2.7,1.56,4.93,0.53
0.81,1.55,3.12,0.6
0.02,1.5,1.12,0.56
0.61,1.51,1.65,0.67
5.59,1.45,13.18,0.52
0.02,1.54,2.46,0.55
0.02,1.45,3.31,0.54
4.8,1.47,1.5,0.69
0.02,1.53,6.7,0.68
0.02,1.43,7.37,0.65
0.02,1.44,0.56,0.6
0.07,1.47,1.69,0.48
0.02,1.48,0.56,0.58
0.02,1.51,0.56,0.64
0.02,1.46,1.53,0.63
0.02,1.51,0.56,0.58
1.13,1.46,5.78,0.69
0.02,1.45,2.69,0.43
0.53,1.64,0.56,0.69
5.1,1.52,1.98,0.59
1.26,1.45,2.06,0.48
0.02,1.5,1.67,0.53
0.02,1.49,1.25,0.64
0.02,1.52,5.13,0.34
0.02,1.45,2.49,0.59
0.02,1.51,0.56,0.54
0.29,1.45,2.55,0.55
0.02,1.52,5.36,0.34
0.02,1.47,1.42,0.69
0.05,1.49,1.25,0.34
0.02,1.55,2.24,0.68
0.7,1.51,13.18,0.69
0.02,1.46,2.04,0.44
0.02,1.49,1.67,0.57
1.95,1.51,2.87,0.63
0.16,1.55,5.12,0.57
0.34,1.5,2.43,0.5
0.02,1.51,2.32,0.65
0.23,1.55,1.16,0.51
0.02,1.51,0.56,0.44
0.02,1.42,6.48,0.54
0.12,1.64,13.18,0.69
0.02,1.49,1.53,0.67
0.02,1.51,0.56,0.53
0.02,1.56,0.56,0.35
6.45,1.53,0.98,0.46
0.02,1.47,13.18,0.6
2.54,1.52,1.34,0.63
0.02,1.48,2.32,0.69
0.68,1.47,1.46,0.47
1.27,1.47,1.84,0.48
0.02,1.5,0.56,0.61
5.52,1.5,6.37,0.47
0.36,1.48,0.56,0.69
0.02,1.61,0.56,0.69
0.02,1.49,13.18,0.37
0.42,1.54,0.56,0.6
0.5,1.48,2.15,0.45
0.02,1.52,6.81,0.4
0.02,1.44,5.12,0.67
1.51,1.48,2.26,0.61
0.02,1.62,13.18,0.65
0.02,1.56,2.62,0.66
6.12,1.55,13.18,0.39
0.69,1.45,1.53,0.69
0.9,1.43,4.57,0.37
0.02,1.54,2.03,0.69
4.51,1.53,13.18,0.69
0.02,1.46,5.79,0.52
0.61,1.64,2.4,0.47
0.02,1.42,5.23,0.63
0.02,1.53,1.39,0.69
0.02,1.43,1.79,0.69
4.04,1.49,1.62,0.69
0.02,1.5,1.48,0.44
0.02,1.53,2.78,0.39
0.02,1.54,2.27,0.69
0.02,1.54,4.76,0.69
0.35,1.42,0.56,0.69
0.02,1.42,4.31,0.66
0.02,1.52,0.56,0.61
0.66,1.48,0.56,0.69
2.22,1.49,4.89,0.52
7.96,1.63,0.56,0.69
1.35,1.42,2.23,0.69
0.02,1.52,1.3,0.69
0.02,1.44,1.35,0.34
1.0,1.49,1.65,0.69
0.02,1.54,6.91,0.34
0.02,1.46,1.81,0.69
3.37,1.48,12.6,0.69
1.35,1.53,3.35,0.52
0.02,1.44,0.56,0.62
1.2,1.52,0.56,0.66
0.02,1.49,13.18,0.59
0.79,1.42,2.57,0.69
0.36,1.52,8.8,0.69
0.02,1.55,2.38,0.69
0.02,1.53,4.02,0.39
0.02,1.54,6.08,0.47
0.02,1.53,2.44,0.38
0.28,1.48,1.13,0.65
0.02,1.44,2.69,0.49
0.02,1.51,1.94,0.34
0.02,1.5,1.02,0.62
1.53,1.53,0.56,0.69
0.11,1.51,2.39,0.55
2.12,1.55,0.62,0.56
0.02,1.49,13.18,0.44
3.98,1.5,0.56,0.69
1.32,1.46,0.56,0.69
1.3,1.55,6.2,0.36
1.87,1.48,7.56,0.69
0.02,1.53,1.43,0.62
0.07,1.44,0.56,0.54
0.02,1.5,1.82,0.53
0.02,1.46,1.98,0.69
0.02,1.48,4.02,0.56
0.25,1.49,12.43,0.69
0.02,1.42,1.54,0.62
2.23,1.53,2.04,0.69
0.19,1.55,2.01,0.34
0.08,1.42,0.56,0.69
0.02,1.54,0.98,0.52
1.53,1.55,0.56,0.52
0.02,1.47,0.56,0.69
0.02,1.52,0.56,0.69
3.84,1.45,10.69,0.67
0.71,1.52,0.78,0.49
0.11,1.5,10.3,0.61
0.02,1.52,2.03,0.69
0.02,1.47,1.55,0.34
6.56,1.42,0.56,0.69
5.42,1.5,13.18,0.69
1.0,1.52,1.58,0.69
0.19,1.48,2.29,0.38
0.02,1.54,0.79,0.64
0.02,1.64,1.48,0.43
3.84,1.42,2.36,0.69
0.02,1.48,4.12,0.69
3.98,1.43,0.71,0.69
0.14,1.5,1.55,0.69
2.49,1.42,1.16,0.61
1.91,1.51,13.18,0.67
0.02,1.49,0.56,0.42
0.02,1.55,1.82,0.49
2.52,1.42,5.35,0.69
0.84,1.49,12.86,0.69
0.02,1.51,2.64,0.47
0.02,1.54,2.78,0.45
0.55,1.64,4.95,0.69
0.11,1.51,2.63,0.49
0.06,1.54,2.24,0.58
0.02,1.46,1.15,0.69
2.15,1.54,2.65,0.69
0.02,1.47,2.66,0.69
0.02,1.53,13.18,0.65
0.02,1.49,1.43,0.51
0.02,1.49,0.56,0.35
0.02,1.45,1.71,0.69
10.0,1.51,1.1,0.69
4.48,1.64,1.52,0.58
0.02,1.48,1.39,0.69
2.66,1.48,13.18,0.65
0.02,1.53,0.95,0.53
0.63,1.59,5.28,0.69
1.6,1.44,6.17,0.37
5.13,1.45,1.14,0.52
3.75,1.55,6.31,0.56
0.02,1.54,2.27,0.39
7.23,1.49,0.56,0.54
0.02,1.64,11.19,0.34
0.02,1.43,1.26,0.63
0.02,1.42,2.67,0.52
0.02,1.43,13.18,0.34
0.02,1.48,4.38,0.69
4.48,1.52,1.17,0.69
0.76,1.48,2.45,0.58
7.79,1.49,13.18,0.69
0.02,1.48,1.32,0.53
1.11,1.48,1.24,0.54
1.25,1.51,2.71,0.41
0.02,1.45,1.85,0.62
0.38,1.51,7.01,0.44
1.01,1.47,0.56,0.47
0.31,1.47,2.45,0.5
2.07,1.43,0.56,0.69
2.39,1.57,0.56,0.69
7.43,1.43,3.76,0.64
1.16,1.43,0.86,0.35
2.81,1.5,0.99,0.62
0.02,1.42,2.29,0.48
0.02,1.64,4.37,0.69
0.02,1.55,4.61,0.69
4.16,1.51,3.11,0.48
0.02,1.53,0.56,0.68
0.02,1.53,0.81,0.68
0.52,1.45,7.07,0.68
4.34,1.49,2.08,0.66
0.27,1.42,1.27,0.69
0.02,1.48,6.03,0.34
0.68,1.55,3.19,0.42
0.02,1.42,6.14,0.61
0.02,1.52,1.75,0.67
3.84,1.45,1.26,0.59
0.28,1.53,1.08,0.69
0.93,1.55,2.12,0.41
0.02,1.42,2.59,0.51
1.47,1.44,0.56,0.69
0.02,1.53,4.78,0.62
0.02,1.47,1.6,0.65
0.02,1.51,1.22,0.54
8.01,1.52,5.71,0.61
0.02,1.53,2.71,0.48
0.2,1.55,2.21,0.66
0.02,1.42,6.79,0.54
0.02,1.48,0.56,0.44
0.02,1.47,3.51,0.69
1.36,1.51,5.72,0.69
4.09,1.53,6.74,0.69
7.59,1.51,0.56,0.69
0.1,1.53,2.08,0.69
0.02,1.53,4.04,0.44
5.96,1.49,2.62,0.62
4.6,1.54,5.57,0.45
0.05,1.51,2.8,0.69
0.02,1.42,0.56,0.37
0.02,1.47,11.83,0.55
0.02,1.53,2.44,0.47
0.02,1.51,2.51,0.69
1.71,1.47,0.56,0.63
0.02,1.47,13.18,0.5
0.02,1.64,3.91,0.51
0.02,1.42,1.35,0.48
0.05,1.42,0.56,0.44
2.87,1.42,0.81,0.69
0.05,1.52,5.95,0.69
1.74,1.49,5.9,0.63
0.24,1.54,2.14,0.52
3.08,1.5,0.56,0.69
0.02,1.43,0.56,0.69
0.02,1.46,0.86,0.49
0.02,1.53,0.95,0.59
0.02,1.47,0.56,0.69
1.92,1.54,7.8,0.34
0.63,1.54,2.02,0.51
2.2,1.53,1.54,0.69
0.02,1.64,1.23,0.69
0.02,1.51,0.56,0.54
10.0,1.49,6.06,0.67
0.02,1.51,0.56,0.69
7.25,1.64,2.55,0.52
0.02,1.53,0.56,0.51
0.02,1.45,0.56,0.42
0.95,1.42,0.56,0.45
1.13,1.45,5.24,0.69
0.02,1.49,5.25,0.39
0.38,1.54,2.22,0.49
0.02,1.52,0.56,0.6
2.39,1.52,1.34,0.51
0.02,1.47,2.29,0.69
0.06,1.43,0.76,0.62
0.02,1.52,13.18,0.34
0.02,1.47,6.97,0.66
0.02,1.52,8.06,0.69
0.02,1.5,0.56,0.69
0.02,1.53,7.89,0.69
0.02,1.48,3.48,0.45
0.65,1.49,9.78,0.68
0.21,1.45,0.56,0.5
0.02,1.53,1.18,0.54
0.02,1.55,1.21,0.62
2.73,1.56,4.1,0.63
0.54,1.42,1.66,0.38
1.33,1.45,10.65,0.69
0.02,1.53,0.56,0.61
1.76,1.64,2.09,0.69
0.24,1.48,2.9,0.34
0.02,1.49,5.19,0.69
0.02,1.62,3.59,0.41
1.59,1.64,0.56,0.66
1.48,1.52,1.94,0.48
0.02,1.48,4.56,0.69
0.06,1.42,1.73,0.69
2.56,1.64,0.9,0.4
0.2,1.42,1.03,0.69
7.58,1.49,1.5,0.68
0.02,1.44,2.38,0.45
0.02,1.5,0.56,0.69
0.02,1.55,2.59,0.51
1.11,1.53,2.91,0.64
0.02,1.42,4.91,0.69
0.64,1.45,3.0,0.55
0.41,1.53,0.56,0.69
0.02,1.53,0.56,0.5
0.02,1.52,1.89,0.58
0.02,1.45,0.64,0.69
0.02,1.64,12.89,0.54
0.16,1.47,4.66,0.53
0.02,1.46,0.63,0.59
0.02,1.45,0.56,0.51
0.66,1.49,9.79,0.69
0.02,1.42,0.63,0.69
0.17,1.47,0.61,0.63
0.02,1.47,8.07,0.55
0.51,1.54,1.43,0.49
3.39,1.5,6.78,0.34
0.02,1.52,0.56,0.69
0.94,1.46,3.09,0.6
0.02,1.45,3.73,0.34
1.47,1.54,0.84,0.43
0.02,1.53,3.05,0.34
0.02,1.55,1.36,0.45
0.96,1.64,2.97,0.5
1.41,1.52,1.95,0.58
0.02,1.64,0.56,0.69
6.43,1.54,1.1,0.53
0.14,1.42,5.91,0.52
0.02,1.54,0.92,0.67
4.02,1.64,1.2,0.69
0.15,1.54,2.17,0.69
0.34,1.42,3.19,0.69
0.02,1.54,3.16,0.47
0.02,1.53,5.96,0.45
1.03,1.53,2.54,0.52
0.02,1.55,2.51,0.57
0.35,1.45,1.65,0.56
0.02,1.53,1.57,0.69
0.02,1.45,0.56,0.67
4.35,1.54,0.56,0.48
0.16,1.5,3.37,0.62
0.02,1.47,1.06,0.59
2.85,1.53,3.74,0.69
0.02,1.42,4.27,0.6
0.02,1.47,4.14,0.69
1.7,1.52,3.02,0.36
0.05,1.55,2.34,0.57
0.02,1.52,12.44,0.64
0.83,1.53,1.39,0.69
0.45,1.52,1.1,0.59
0.46,1.52,2.28,0.68
3.16,1.42,1.37,0.54
0.02,1.49,0.74,0.69
1.31,1.64,0.56,0.69
0.02,1.47,12.25,0.62
0.02,1.49,13.18,0.69
0.02,1.52,3.55,0.45
0.02,1.49,10.25,0.45
0.02,1.53,2.22,0.69
0.02,1.43,2.1,0.53
0.02,1.49,1.83,0.48
0.9,1.51,0.73,0.34
10.0,1.51,2.08,0.58
0.02,1.55,8.72,0.69
0.02,1.42,0.56,0.69
0.02,1.51,13.18,0.68
0.46,1.42,2.1,0.69
0.02,1.55,1.61,0.58
0.75,1.45,2.52,0.69
0.02,1.48,0.56,0.59
0.65,1.47,4.35,0.69
0.02,1.47,7.33,0.69
0.02,1.51,0.56,0.46
0.02,1.52,8.91,0.66
0.02,1.55,1.93,0.68
0.39,1.5,6.53,0.54
0.64,1.52,0.56,0.69
3.53,1.52,0.59,0.69
0.02,1.55,1.0,0.69
0.02,1.51,13.18,0.34
0.02,1.5,0.89,0.45
0.02,1.64,0.69,0.68
1.14,1.64,0.67,0.69
0.02,1.52,7.07,0.46
4.56,1.51,4.31,0.69
0.02,1.55,6.13,0.56
4.31,1.47,1.46,0.42
1.28,1.54,6.68,0.54
2.41,1.53,4.49,0.69
1.07,1.59,1.64,0.67
4.16,1.45,0.56,0.69
0.02,1.61,2.95,0.35
0.02,1.5,7.87,0.69
0.02,1.56,1.76,0.55
0.02,1.54,6.25,0.44
0.26,1.49,6.26,0.62
0.43,1.55,0.56,0.65
10.0,1.52,2.84,0.69
0.02,1.52,1.74,0.69
0.02,1.46,2.74,0.39
0.11,1.42,13.18,0.69
0.4,1.52,1.25,0.62
0.18,1.47,1.01,0.69
0.06,1.44,2.72,0.69
0.64,1.52,0.56,0.69
0.02,1.49,2.45,0.57
1.08,1.42,12.86,0.61
0.02,1.52,0.67,0.45
0.02,1.43,0.56,0.69
